Date,Sales_USD_Act,Sales_USD_For,Sales_Alert,Support_Tickets,Support_Tickets_For,Support_Alert,Retention_Rate,Retention_Rate_For,Retention_Alert
2024-01-07,110803,102443,⚠️ Warning,614,425,⚠️ Warning,0.945,0.788,❌ Critical
2024-01-14,90386,110970,⚠️ Warning,591,649,❌ Critical,0.77,0.855,❌ Critical
2024-01-21,105987,100957,❌ Critical,692,582,❌ Critical,0.758,0.959,✅ OK
2024-01-28,87081,93329,⚠️ Warning,494,510,✅ OK,0.776,0.803,✅ OK
2024-02-04,104789,89735,⚠️ Warning,489,475,❌ Critical,0.781,0.765,✅ OK
2024-02-11,95052,114573,⚠️ Warning,595,455,❌ Critical,0.816,0.792,⚠️ Warning
2024-02-18,100607,89387,✅ OK,310,526,✅ OK,0.94,0.883,❌ Critical
2024-02-25,87905,90598,✅ OK,551,443,✅ OK,0.759,0.768,⚠️ Warning
2024-03-03,111511,96056,⚠️ Warning,392,527,❌ Critical,0.748,0.875,❌ Critical
2024-03-10,97590,94199,⚠️ Warning,432,644,✅ OK,0.821,0.88,❌ Critical
2024-03-17,106881,91518,✅ OK,428,540,⚠️ Warning,0.877,0.755,❌ Critical
2024-03-24,92798,114897,⚠️ Warning,686,588,❌ Critical,0.872,0.778,✅ OK
2024-03-31,119926,113839,⚠️ Warning,698,411,✅ OK,0.713,0.933,✅ OK
2024-04-07,115035,95108,❌ Critical,344,537,⚠️ Warning,0.934,0.901,✅ OK
2024-04-14,109733,103738,⚠️ Warning,655,636,✅ OK,0.775,0.765,⚠️ Warning
2024-04-21,81377,99053,✅ OK,476,715,✅ OK,0.876,0.89,✅ OK
2024-04-28,116996,87708,✅ OK,517,428,✅ OK,0.863,0.911,❌ Critical
2024-05-05,118594,90856,✅ OK,631,680,⚠️ Warning,0.779,0.97,❌ Critical
2024-05-12,80450,88615,❌ Critical,493,568,❌ Critical,0.841,0.823,⚠️ Warning
2024-05-19,96804,91661,✅ OK,599,415,❌ Critical,0.756,0.798,✅ OK
2024-05-26,91222,96295,⚠️ Warning,343,381,⚠️ Warning,0.845,0.925,❌ Critical
2024-06-02,118889,92510,❌ Critical,618,561,⚠️ Warning,0.802,0.834,❌ Critical
2024-06-09,107388,99963,✅ OK,574,591,✅ OK,0.917,0.824,❌ Critical
2024-06-16,93241,99321,✅ OK,318,667,⚠️ Warning,0.753,0.789,❌ Critical
2024-06-23,115183,107810,❌ Critical,543,733,✅ OK,0.854,0.929,✅ OK
2024-06-30,116394,94842,⚠️ Warning,651,715,✅ OK,0.741,0.825,✅ OK
2024-07-07,88694,85469,❌ Critical,368,736,❌ Critical,0.821,0.857,✅ OK
2024-07-14,118764,107786,⚠️ Warning,609,577,❌ Critical,0.898,0.877,⚠️ Warning
2024-07-21,91770,111937,❌ Critical,616,483,⚠️ Warning,0.794,0.958,⚠️ Warning
2024-07-28,117838,93573,❌ Critical,415,436,❌ Critical,0.871,0.784,⚠️ Warning
